,Text
659,@username como a @username no deve falar ingls vou traduzir bullying = bulinar kkkkkkkkkkk
660,teacher: how to address bullying school ? and how not to - httplink - #bam #iran #political
661,photo: bullying! httplink
662,@username my protractor bully me (woo)
663,gaston is a bully :( #beautyandthebeast
664,"gibis ? tenho estanteeeeeeeeeessssss , bully-me 3b ! #edonerd"
665,"no bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro, ou ?"
666,se esta cometiendo bulling con #ninelconde y se tomaran acciones. ya basta
667,& i'm getting bullied by my whole family because i support arsenal. *goes to bed*
668,@username haha noo we not cause ur a bully.
669,smh shucola gone just take my earphones.... #bully
670,"always control your emotion when someone is bullying you.. and the secret there to control it, is to don't care the person, and walk away!"
671,@username @username brbara: isso bullying.
672,"#libra suka mendapatkan segala sesuatu dari kerja keras, bukan bullying / paksaan."
673,"@username yeah i understand that she was bullied and things but to bring something as strong as sexuality, something that effects (nt)"
674,"@username oh riight! lol /points at carr-onion, laughs & runs away/ #bullied"
675,frio bullying contra os solteiros. httplink
676,this right here is cyber bullying at its best :)
677,i haven't watched bully beatdown in a minuteee #lovemayhem
678,"@username hello matt or should i say cyberbully, terrorist and bully not to mention gay! #cyberbully #bully #terrorist #spam #much?15"
679,"vmasrecap : cb was flying, britney was crying, jessie was limping, neyo&pitbull were ..lets grab somebody sexy and tell'em, & b was on top."
680,"#stopbullying @username is right. my brother is 8 , he hates life because he's bullied since he was 4 years because he's 'fat'-"
681,"read my response to ""acha que bipoloridade, falar que sofreu bullying, cutting, etc virou modinha?"": httplink"
682,hey hey! ho ho! union bullying is getting really old and has to stop httplink
683,@username hahaha talveez vooc sofreu bullying na barriga da sua maae *---* #essanumtevenadaaver ;s
684,rebecca black quits middle school after bullying: youtube sensation rebecca black might have gone from an... httplink
685,estou sofrendo bullying no skype
686,"@username nah, vos teneis pinta de mala estudiante, ladrona, bully, entre otras cosas."
687,"niggas swear i'm a #bully, i'm only 5'8 165lbs"
688,"wait wait wait,i never see a poorer excuse ta drop outta school than bullying.like we say back home,smady hit yuh,hit dem to kissmeass back!"
689,@username i'm gettin really bullied on here for likin u girls are takin the mick
690,@username omg good cause i got bullied alot! but that's great.
691,bully
692,"sou contra a ""doutrina do bullying mnimo"" - adotada por nelson - mas tem coisas/pessoas que realmente fazem por merec-la."
693,@username my lens is ready for that 8 pack any time.... (not for the bullying)
694,@username shut up bully.. u love me
695,"@username i love how tracey is putting full blame on olivia, she is such a bully. she thinks we all 4got how she has constantly attacked her"
696,"lol...he made more money swallowing the minnow than he did with the ""bully protection club"""
697,"@username and they're both good additions, although quiet lately. 3d know the business. bully is a great heel, and devon got buff!"
698,victory fitness (www.vicfit.net) will be hosting an anti-bully class on aug 29th and 31st at 630pm. save the date and let others know....
699,"im a bully, i beat up a white kid and took his weed"
700,"@username amei, quem vai sofrer bullying agora o z, eta eta eta o z tomo na tarraqueta"
701,finally the principal called me. she said she is going to bring the boys in who bullied the girls.
702,"@username @username rlx joo, j estou acostumada com esse bullying dirio, um a mais um a menos, bullying j constante msm kkkkkk"
703,lol at this... person telling everybody that i'm bullying her. hahaha she also deleted me on facebook. #loser
704,@username @username @username dont go bullying tone!:)
705,i think it's ironic that wwe is in a campaign about bullying when most wrestling fans have been bullied for being wrestling fans. #raw
706,"@username ok, thanks. it's just i was bullied for being skinny, and forced myself to drink gross weight-gain shakes 5 times a day!"
707,you can't ... bully .. anyone .. raven o.o
708,@username is a bully
709,@username @username @username a bully swan once stole my dad's banana. no one laugh
710,"sobro bullying, as pessoas me excluem n @username =("
711,a @username ta fazendo bullying comigo no eme! rhum
712,bully's tho smh
713,"@username yeah, i was cyberbullied & actually bullied but it's fine. i'm better now. i promise i won't delete my accnt. love <3"
714,@username @username @username @username ur all wrong randles is off monsters inc! #bossfilm! now leave kay alone ya big bully! xx
715,@username no creo bully! cada quien tiene su historia y el porque lo dice jaja :/
716,"pet: pet food: 12"" free range bully sticks thick select odor free 25 pieces httplink"
717,bulling del mas cruel y sanguinario.
718,"@username @username vai me escrotizar vc tbm ? suas malvadas, isso bullying, vo processar vocs _|_"
719,don't you even dare pop up to me you bully
720,i feel like bullying cher lloyd. her face hurts my feelings :|
721,@username @username who should we bully?
722,@username hahahahahhaahahahahahahahahahahahahahahahahahahahahahahahahahaha (( bulling weeey
723,@username crazy how you could dish it out but when the bullying gets flipped on you it doesn't feel as good. you're better than that.
724,bullying msmo eu ter que lavar o cabelo todo dia
725,"new video: funny dog videos - phinley the bully - ""david vs. goliath"" - httplink"
726,"ayer viendo un dream team de tia,s no se cual.. me d cuenta de que.. le hacen bullying a la maknae de dal shabet xdddddddddd"
727,"e os faceboockzeiros continuam praticando bulling comigo, todo dia uma piadinha, se algum flaa a palavra facebook nego ja me olha."
728,"@username voc faltou hoje, eu fiquei to forever alone, no tinha ngm para prticar bullying , haha love you !"
729,the self esteem act: it's time to confront the bully that is our beauty culture httplink
730,"@username @username nee, afu bullying"
731,say no to violent bully rhetoric. say no to cowboy politics. say no to @username for president. #unpresidential
732,"#naowaching ""bully beatdown"" me guta ese deporte =:)"
733,"@username i dont have ""asbergers"" you moron,get facts right before you accuse people.the only creepy asshole is you.stop bullying people."
734,my son is a bully
735,"@username @username my big stick! i'm not much for arts, i prefer a game of football or rugby, but your arts are solid. keep being bully!!"
736,"most people think selenators are like the victims of bullying, which is not true, we actually stand up for one another were a family. #fact"
737,"hoje dormir na rede, sofri bullying pois estava prximo da cama."
738,'if....' is a tense exercise in breeding anarchy. i wouldn't put up with that kind of bullying! @username blu-ray rev. httplink
739,"martial arts, spiritual growth, and anti-bullying: a good way to help your child to develop such traits is through martial arts. depe..."
740,@username eu s fiz um comentrio sobre um texto dele. o cara surtou e chamou os coleguinhas! #bullying @username kkkkkkk
741,#allisimpson : an inspiration #allisimpson : a girl like me #allisimpson : supports anti-bullying (best cause) @username follow me?(:
742,no bullying se eu jogar um tijolo na cara d bisk e fingir que estava brincando de pedreiro.
743,"contra o palmeiras no rivalidade, bullying parabns palmeiras!"
744,@username leave me aloneee ! biggest bully ever right now is youuuu mann :'( its perfectly fineee b!
745,never be bullied into silence. never allow yourself to be made a victim. accept no one's definition of your life; define yourself
746,@username @username eu nao paro de rir com ela!!!! agora ela ta falando que eu fiz bullying com ela ahahahahah
747,just found videos of me aged 4! my sisters bullied me and i was round! cute
748,@username nantangin tuh.. @username @username yuk kita bully dia.. hahahaha httplink
749,"sofro bullying na timeline por no saber andar de bicicleta, vou contar tudo pra minha me viu @username mimimi*"
750,debate sobre #bulling na aula d #portugues ' ;}
751,no bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. httplink
752,@username thats great! because if not the bully could've kept going & doing worse things ... i had a bully in elementary & jr high
753,"@username ."" lunch bully "" 555 ?????????"
754,@username bulling a secu
755,a rebecca black la sacaron del colegio porque le hacan bullying: httplink
756,@username @username yaaaaa bt im nt the one who bully her..
757,shelly weak af.. who tf is grown and bully ppl??
758,amanh os meninos vo sumir = um dia inteiro sem bulling'
759,tem gente que se faz de vtima que esta sofrendo bullying ou preconceito... odeio isso
760,this chick telling jeff he's a bully. wow.
761,#moms #dads think your student may be going through #bullying in school ? some signs> httplink #family #health
762,"ignored, friendless, outcast, bullied"
763,a @username t praticando bullying no facebook contra mim e contra @username disse que vai dar uma nota que a gente t namorando.
764,@username <<still a bully then people wonder where i get it from -.- lol
765,"@username the thing is kapayan and '9reesa have bullied me for years. they have thrown me of closets, played me with like a toy, and -"
766,e no tem a @username na opo de twitter favorito >>~~*** bullying ***~~<<
767,"cyber bullying, ga lagi. nyewotin org, ga lagi. nyirikin org trs post di twitter, ga lagi. anjing banget sekarang yang begono."
768,bully-q sponsored by nahs cheerleaders. see a cheerleader to purchase a ticket.
769,finally bullied jake into tanking a heroic so i can witness the fact. >)
770,"@username starve a bully, feed your soul. #standgrand . those 8 words never get old <3"
771,@username gak tau juga kk tapi dateng aja besok paling2 di bully hahaha
772,todos aprovam bullying nese caso httplink
773,bullying has got too stop....... the title of the book i am writing.
774,@username crazy... ridiculous... bureaucratic bullying nonsense.. and any other host of expletives u can tag on the end.
775,"@username at either weight, he's going to get bullied by wrestlers. story is a bad match up. nate can't win that fight"
776,?@username ?@username #capricorn knows how to get our way & will never be bullied around or bullied into doing something.??
777,@username just watched #newsnight not easy to deal with a bully like #starkey. well done. #jaimie'sdreamschool nightmare teacher
778,"@username check out ""work in da pot featuring serius jones"" by south bully - httplink"
779,"vamos parar de zoar os outros torcedores, agora crime! sacanear botafoguense bullying (+) #flamengoteamo"
780,stop bullying! i'm here for you <3
781,haha..just watch rise of the apes..love ceaser so much..pity ape bully by human.. :(
782,nut allergy children are bullied for being 'different' | mail online: jamie berry's peanut allergy causes such c... httplink
783,& shes getting bully by her @username lmfaooo lmfaooo
784,@username bullying ...........:d you guys :d
785,how can you be getting bullied into doing shifts. is your life a joke or?
786,"?@username: nias, reinas del bullying en escuelas privadas httplink / @username @username @username @username"
787,"""rebecca black deja la escuela por bullying?"" esto ya es mucho :s a nadie le gustara que le hicieran eso (+)"
788,jogar bully e dps dormir
789,bullying: httplink
790,@username wajajaja eso es bulling no lo permitas y tu amor te kiere asip no importa lo k digan
791,so what if i give you 2 dollars eveyday in fear that you'll beat me up if i dont. its not like im getting bullied or anything *scoffs*
792,hell is my liteskin bully at
793,bullying brothers photography - this dedicate magazine 'boys will be boys' spread goes back in time httplink #fashion
794,@username @username isso bullying powuehpuiefwhpuifwfe
795,"@username haha nice, well that's not bullying thats just asking :-)"
796,"@username @username ta vendo s ? me chamando de #doida , isso bulling , k'"
797,o vero bullying contra as mulheres feias.
798,"if boehner has any spine, he will put the american people first and not grant obama's intentional bullying tactics #teaparty #gop #tcot"
799,tia just bullied me . lmao
800,no bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro
801,linda harvey: ?there?s no proof? that lgbt people exist httplink via @username #lgbt #glbt #gay #glsen #lesbian #school #bully
802,to sofrendo bullying vendo as fotos desse povo infinitamente mais bonito que eu. httplink
803,i feel like a mother. my baby is getting bullied and i'm not loving it.
804,hj em dia td bullying
805,"""don't allow love to turn into lust, setting off a downhill slide into sexual promiscuity, filthy practices, or bullying greed."" - ephe 5:3"
806,@username bedroom bully indeed
807,"@username @username kok bisa ada guanya sih? -__-"" ku kangen ya di bully gua :3"
808,eee @username o que voc faz com @username bullying.
809,"if they get bullied in bb, i will climb over the building and save them because i'm that hardcore. who's joining me?"
810,"@username antigamente tinha q descontar a raiva nos games, hj tudo bullying kkkkkkkkkkkkkkkkkkk"
811,no bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. httplink
812,@username @username @username hahahahahaha. ah loco. acho q as outras mes tbm deviam mandar parar de fazer bullying com o rominho.
813,#lembrafa quando o thomas disse que sofria de bullying na escola ?
814,sofro bullying da unicamp as provas da olimpada de histria no chegam no meu email : (
815,"@username @username no vale fazer bullying comigo, o @username deixou eu ir kkk'"
816,when someone deliberately repeatedly pushes your buttons for their own amusement and tells you you are being sensitive; it's bullying.
817,"football | barclays premier league | neville: we bullied arsenal ""invincibles"" | espnstar.com httplink via @username"
818,video: bully kitteh stuffs other kitteh into box httplink
819,*** guest post *** bullying on campus: stopping hazing and harassment by glenn rosenberg httplink via @username
820,"#flashback sering banget nge bully smash, tapi sekarang ga suka kalau smash di bully...:d"
821,"""sonserina: malignos, falsos, comensais da morte, praticantes de bullying"". risos."
822,"@username would u wanna help with a demi support/ stop bullying video?(: you don't have too, just asking! <3"
823,hey #superhero fans. we have a collection of #stanlee videos about #disability #bullying #adhd and more httplink #akhca
824,sin bulling no hay amistad :)
825,intervalo do curso e eu vim comprar ky com meu amigo imagina o bullying
826,"@username awww pero es tierno, yo cuando chica le haca bullying a mis compaeras."
827,s no vou denunciar o victor por bullying e racismo porque ele ainda est com o meu trabalho
828,", frio bulling contra os solteiros... agnt qe o diga n sis @username ?"
829,@username liddat bully meh? it's just finding you funny (:
830,me hacen bulling por skype :(
831,essas duas vacas @username @username ficam causando aqui cmg ): bullying
832,"@username haha okay,well this holly girl is saying that gabby is bullying her and calming that she's said 'mean' things about (con).."
833,"adoraria ter o cabelo azul ou branco tipo from uk, amo isso! mas em criciuma pedir bullying"
834,@username por q me hablas de eso justo ahora q estoy en clases y me desconcentras de esa manera!!!!!!! es bulling xd
835,"rebecca black was ""bullied"" into home schooling httplink #rebeccablack #bullying #friday"
836,frio bullying contra os solteiros .
837,@username your a bully dawg pick on somebody your own size
838,@username voce ta ai com as meninas e eu forever alone aqui por causa da professora que tem bullying comigo :/
839,@username your a bully stop always picking on people nicole gosh
840,"@username yh, when the grow up they will just fail in the real world & end up getting bullied..."
841,@username bully nada :/ kk
842,how the political right bullied the department of homeland security into ignoring the threat of right-wing extremism... httplink
843,"que el bullying es slo molestar weones?, el bullying es ms que eso, es una deporte, una pasin... httplink va @username"
844,"bueno, al menos #thefinal s demuestra lo que puede provocar el bullying, aunque sea una pelcula traumtica... #stopbullying :/"
845,frio bullying contra os solteiros k
846,"middle school, i was a bully; 9th grade, i was a bully; 10th grade, i was a bully; 11th grade, i was bullied; 12th grade, didn't give a fuck"
847,"@username if that were the case, surely there would be no bullying in america or individuals 'going postal'?!"
848,no bullying se eu te quebrar inteira e dizer que estava brincando de jogos mortais. httplink
849,@username you used to get bullied :(
850,hoby takes the lead on bullying @ #hobyti. so happy to work w/ an organization that cares about what is happening with the students we serve
851,no bully
852,@username they're bullying her tbh.
853,@username u a bully!!
854,@username @username @username @username haha my gina gerald call for my help so i'm here!who bully him?
855,@username ihope your not being ah twitter bully.! lol
856,"@username yeah, if nothing else they could do more about bullying without specifically referring to sexuality."
857,id be a muthafuckin bully
858,@username @username ah jajaja bullying por twitter creo que ahora sientes lo que siente @username sobre jb :d
859,"caralho isso bullying, e uma puta falta de sacanagem xd httplink"
860,so the lil bro is the bully on bully beat dwn................wtf big bro
861,frio bullying com os solteiros.
862,no bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. httplink
863,"seseorang yang memberikan beban dan mem-bully bukan seseorang seperti kamu yah.. after all, sy selalu balik lg dg km, my bobf @username ?"
864,"no abre gente, o site do marista ta fazendo bullying cmg"
865,@username pero es que te vez hermosooooooo bully ?
866,bullying tema de debate na cmara de macei httplink
867,bullying *
868,"tipo,agora todo mundo descidiu praticar bullying,todo mundo grunge,todo mundo feio e todo mundo incompreendido.qu sabe..eu odeio isso"
869,@username too damn funny. she ia being bullied
870,@username isnt it sad when demis fans bully people on behalf of demi? am i wrong or is demis main goal to stop bullying?!?!
871,"@username jaja no como crees, es pura broma y ademas no es #bulling es #cyberbulling jajaja ntc"
872,"r we really surprised that bullying n school has increased when we hv removed prayer? no god, no peace! #wakeup"
873,"@username plz follow us back, u helped maja through the hard times in her life.. like bullying, and cutting. read her story in our bio 9"
874,information: bully cr-605l 605 series 2 in 1 receiver hitch mount step with led brake light httplink
875,@username @username bcci bullied them 2 play ipl threatening breach of contract.
876,"mano, minha mae faz bullying demais, que saco vei"
877,bullying & body language advice httplink
878,@username you bullied me .
879,@username some boys of my school bullied me because of my hair ...
880,@username #bullyingfacts #stopbullying between 15 and 25% of u.s students are frequently bullied
881,"acabo de ler no facebook: ""o frio bullying com os solteiros!"" e no que faz sentido?"
882,@username greens getting bullied too! #comeonyoubulls
883,"read my response to ""j sofreram bullying?"": httplink"
884,my momma bear is a bully -.- ;d
885,kasihan arsenal di bully gitu
886,"sum men arnt lookin 4nethin logical.dey cnt b bought,bullied,reasoned or negotiated with.sum men jus want2watch the world burn- a.pennyworth"
887,"rebecca black hits up boa, talks bullying: taking a midweek break from her schedule, rebecca black was spotted ... httplink"
888,@username sofrendo bullying! deve ser cousa do #carlos
889,the greatest episode if bully beatdown is where @username fights the bully! xd which i'm watching now :d
890,oha o bulling amanha viu mae k k k k k k lala
891,a @username sofreu bullying no colgio hoje! hahaha :(
892,@username you wanna know what's happening? idia is getting bullied by england #thirdtest
893,@username opaa hauahuahauahua mais que bulling xd
894,critic of wwe's anti-bullying campaign issues retraction and apology httplink
895,#iwishyouwouldturnmedown and you be waitin on a ride to bully every friday
896,bully tools heavy duty 4-inch scraper with d-grip fiberglass handle 7-guage steel blade $10.75 free super saver ... httplink
897,never be bullied into silence. never allow yourself to be made a victim. accept no one's definition of your life; define yourself. ?
898,@username makes sense! a bully would probably be a good option. they're pretty low-key from from what i understand. =)
899,@username lol i don't want you to get cyber bullied :0 i was just playing
900,"@username kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk para vei , issso #bullying"
901,words can't hurt me-or will they? bullying can hurt more than feelings; it can impede brain development! httplink via @username
902,t sofrendo bullying porque vou no show do justin bieber.
903,photo: ? meu crebro faz bullying com o meu corao. tati bernardi httplink
904,"read my response to ""- diga no ao bullying! #repassa"": httplink"
905,"you don't know what's going on in someone's life, don't judge them. you honestly don't know what cyber-bullying can make a person do."
906,saw that mirror article. 1. never take advice about what good tv is from a paper that thinks cbb is quality. 2. it was mindless bullying.
907,"@username nao poxa, nao bullying!! eu so to preocupada hahaha"
908,"@username @username fizemos texto sobre o bullying, olha a proposta no dropbox e me diz se d pra chamar aquilo de ""artigo de opnio""."
909,"moving on!! haha nasira ang sched ko dahil sa isa na namang biktima ng cyber-bullying,hehe. (please let go of james soriano.)"
910,"@username my gov't name aint on twiiter.. n i dnt have u on fb.. ( i think) idk son, its late leave me alone woman ..bully =p"
911,@username @username ur a cyber bully
912,httplink bullying a top concern at tulsa-area schools
913,"@username is there a single example of a right wingnut in the media who's not a bully (bolt, jones etc)?"
914,@username httplink #disappointed #bullying
915,frio bullying contra solteiros
916,"borad st bully ,"
917,"u.s. amb: ""eroded trust in nz thereby threatening intelligence cooperation"" response: ""bully tactics"" httplink #wlfind"
918,lmao cause they like to bully me -.-
919,@username @username @username @username uhsduhsdusdushsduh pratico bullying
920,tem gente que merece sofrer bullying
921,@username it just hurts to see what this jerk has to say about adam and i hate being bullied but i won't let adam down.
922,#news memorial vigil to include anti-bullying message - wayne independent: memorial vigil to in... httplink #childpsychology
923,metodo para prevenir el #bullying *acusalo con tu mam* en verdad no te calles ni te dejes intimidar #derechoalafelicidad
924,@username beat bullying:)xx
925,@username @username yeah hes a big ugly cyberthug bully punk ;)
926,"denunciar, arma para acabar con el bullying: pan httplink"
927,"@username you can spot them, but not allowed to point them out coz that's bullying!!! ha ha x"
928,reblog if you're against bullying. httplink
929,@username is bullying me
930,@username didn't you read the late bully last night? #candlebothends
931,#lastfm #love sufi futurist (big bully & odnu remix) by walker barnard httplink
932,"taking a stand against bullying : sudbury, ontario - httplink"
933,kk @username itu kenapa curcol td?haha 'tak peduli ku di bully' pd mau nyolong makan yaa!inget puasaa atuh kak..haha
934,#icanhonestlysay people should stop bullying mideo cruz...
935,ai o povo da facul ta dando palestra aqi sobre bullying
936,project bully the project bully nation news: this information is brought to you by the project bully rescue netw... httplink
937,@username weight and now i say with great pride i am very happy and not suffer more bullying
938,lol @username would you honestly smack me? ahh you a bully... blackie
939,"@username grata por bullying: mentes perigosas nas escolas"" e por acompanhar meu trabalho. sucesso pra vc tb. abs, ana beatriz"
940,@username @username gracias. ahora me sentir ms segura que nunca. :)) te maltrato? :0 pero si tu eres el nio bullying. xd
941,"vida, para de me bater, isso bullying."
942,@username i was the one who got beat up acc lol ^_^ he's a bully haha xx
943,@username si oh! hdkshajdkasdhakjsdhkjs ash me gusta hacerte bulling :b
944,@username bullying? bate logo na cara das pessoas causadoras desse mal que resolve logo esse problema ... fikdik rsrs bom dia ae =)
945,your just a bully!
946,@username don't be a brahma bully?
947,but if i go in (pause and no homo) its bullying
948,incrivel como eu sofro bullying ate pelos meus professores --'
949,i'm bullying @username with a giant wasp i'm being very mean
950,[en nuestro blog] congreso sobre bullying httplink
951,"quando se ofende, goza,humilha, discrimina, exclui, empurra, rouba ou se quebra os pertences, isso tambm bullying."
952,@username love the way u always stand up for@username when all the other wives try ti bully her im glad u have her back #husbandoftheyear
953,@username me deixar falando sozinha bullying t. rs
954,@username ye estreso verdad? e bullying jaja
955,"ndahhh (_"") ""@username: ibra di bully , di telanjangin. so pitty you are"""
956,"""frio bullying contra os solteiros."""
957,@username bully! ?
958,secrtaire indpendante #bully #seinemaritime auto entrepreneur httplink
959,@username @username @username comeo o bulling uihauihuaihuiahuiah u-u
960,"manh, to fazendo bullying comigo porque tenho p torto!!"
961,@username lol. stop being a bully
962,"@username should be ashamed. saw u deleted the tweets, how coincidental! the girl needs support not bullying! grow up and pray for her!"
963,"check out ""automatic"" by big bully streetz - httplink"
964,@username hahah lol u seem like a bully too
965,my'liek is a fucking bully i swear
966,ahahahah rebecca black was bullied out of school hahahahaha
967,jaaa despues del bullying httplink
968,"@username @username @username ele podia ter twitter, ia ter bulling aqui hahahaha"
969,@username u a damn bully
970,"pengen bullying @username kalo liat yg belanda2an gini, tapi jangan deh *imajinasi dibiarkan menguap*"
971,@username @username was she bullied before or after the song??
972,@username fui desenhar um boi no caderno fazendo ciclo de doena e uma amiga: vc desenhou um cachorro porqueeee??? #bullying
973,it's obvious that you're bullying innocent foreigners and embracing the bad ones... how stupid can you get?
974,"tell me what makes you mad,angry,happy,sad me: angry/sad bullying becouse it's herts more than you can see httplink"
975,"quero processar minha net por bullying pq, n?! download parou agora e s jesus nessa causa!"
976,esses joguinho que vc tem que ficar pedindo pros seus amigos te darem as coisas muito pr-bullying.
977,"httplink spam bully, software & services #software #services httplink"
978,@username suka bully ?? dia yang buli kita adalah ;p mwaa
979,@username iya wkkwk kyk lagu galau wkwk enak? jessie j dlu di bully? :o
980,@username hahahahahhahahahahhahahahah then we'd bully the shit out of them.
981,"bully prevention curriculum, free, online, proven, httplink"
982,@username stupid guy uh.. bully me infront of the whole class
983,@username you talkin bout knockin heads off man your a bully lmao.
984,"frank, with a bullied past, calls jacques ""jock"" #superthon"
985,to sofrendo bullying vendo as fotos desse povo infinitamente mais bonito que eu.
986,"@username hahaha kamu di sana dibully ga? bilangin bule-bule itu ya, awas kalo berani jahatin kamu! yang boleh bully malkia kita2 aja :*"
987,@username giving your kids names like that is just asking for them to be bullied in school.
988,@username constant bullying from the city in regards to licensing & permit issues. also due to the economy being down. ?
989,"sick! @username plays bully, ep.2 - httplink bring back memories anyone?!"
990,"@username but after tommorrow their will be no more bullying, u and ure no hands self!, lemme catch u outside mrs vaughns class 2morro"
991,dari tadi malem kecapean ngakak baca fm pem-bully-an evan.. hahahaha.. makasih loh ya van buat hiburannya... :)))))
992,another @username special. kent attempts to bully editor of out magazine over article - httplink
993,no bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro.
994,@username @username we need the philly broad street bully on this #phillysupportphillydvd
995,"@username hahaha! sick still can bully people! sick more k, die soon! hahaha!"
996,"#waystopissmeoff by being: arrogant, homophobic, sexist, discriminative, liar, or a bully."
997,i liked a @username video httplink rebecca black bullied out of school! - justin & selena statue?
998,@username @username kalo perlu bully ampe nangis.:p
999,never be bullied into silence. never allow yourself to be made a victim. accept no one's definition of your life; define yourself.
1000,mau tidur jam segini.. semoga gak mimpi di-bully kayak kemaren :'((
1001,@username come on... stop bullying the girl
1002,@username lets go win win; i happy you happy. you no bully me. (: yay.
1003,4.- la @username me hace bulling sicologico d;
1004,[campanha] #fnx contra o bullying *-* - httplink org.: @username @username @username
1005,@username haha hey! i love our friendship because i love being bullied/corrected/punched in the face...wait what?
1006,aim vo faze meu cartaz do bullying #artes
1007,"summer reading: raising awareness and enforcement putting an end to bullying by paula t. dow, attorney general: httplink"
1008,@username you bully me into joining twitter and then give up on it whilst i am embracing this social medium for all i'm worth.
1009,@username #king wow?? i would be your best friend but your a freaking bully!! pushing me in the lab smh
1010,frio bullying contra os solteiros..... #podeno
1011,@username @username @username @username @username @username bullying no twitter caralho ? nhaaw
1012,"35,762- you would chose a # like this lol. i'm glad we've remain friends even after all your bullying lol :)"
1013,sofro bully por no ter time definido :/
1014,@username how do you know her song is getting bullied and she isn't? do you know her? fame doesn't equal immunity from life.
1015,i had a horrible dream last night :( getting bullied is a horrible thing!!
1016,"@username ah marcelo, isso j bullying que vc t praticando contra a minha pessoa!!! j te achei l."
1017,"@username convite: dia 31/08 a naes far sua mostra de trabalhos intitulada ""por um mundo melhor - sem bullying, sem diferenas""."
1018,"""desculpa se voc mal amado, frustrado, sofredor de bullying e ninguem gosta de ti. isso no lamber cu, admirar."
1019,"#stopbullying a family member had to drop out of school due to bullying. please help stop bullying. it is morally wrong, a crime against all"
1020,"@username , iin thallees o que eu fiz ? maala , voc ta fazendo bullying comigo =/"
1021,lol @username es que arcangel se va a presentar en concierto hoy en bully :/
1022,"i never really seen a bully take someone else's lunch money either , so idk wha the hell peolpe talking bout ?"
1023,o frio bullying contra os solteiros.
1024,"chegueei , depois da escola fui pro aterro com a @username e @username e varias pessoas da escola sofreram bullying de mim haha"
1025,@username what is it with fat people and supposed 'cyber-bullying'? they're so tetchy. you'd think they'd be a bit more thick-skinned
1026,"neguinho passa a aula inteira fazendo pergunta pro professor, ai dps sofre de bullying e acha ruim!!"
1027,"@username "" se uma pessoa zoada porque a cabea dela grande , isso pode ser bulling?"" kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk"
1028,the next day they called me in the office and said i'm bullying her by saying that.
1029,frio bullying contra os solteiros hahah
1030,"cerca de 70% de crianas envolvidas com bullying sofrem castigo corporal, mostra pesquisa httplink via @username"
1031,"galera, amanh a defensoria pblica estar ministrando mais uma palestra sobre drogas e bullying no centro educacional vitria santa maria"
1032,@username bae he's kicking me off the bed ! come get him !! lol he's bullying me !
1033,@username aiseh saki la now bully!
1034,"a bully bitch has never crossed my path. i've always been to tall for all that, shoot bully this dick!!"
1035,this is awful ?@username: rebecca black has dropped out of school because she was bullied: httplink
1036,@username aff isso bulling! rs poxa era pra ter feito rum!
1037,a coisa mais nojenta do mundo gozar com um deficiente. d-me um nojo nojo nojo dessas pessoas que vivem do bullying. morram
1038,@username ctfu oh ok bully
1039,@username @username @username lucky i'm not easily led or bullied then:p going cycling have a good day
1040,9th grade to 10th grade to 11th grade to 12th grade (at my school at least): scum to student to bully to god. isn't high school the best?
1041,@username and a week is a long time for jeff to work his bully magic. i predict adam leaving this week if she takes the deal #bb13
1042,"toda hora as meninas gritam gol do corinthians e eu fico assustada, isso bullying!"
1043,?@username: @username i followed (: follow bacck? xx? thank you!!! and thanks for reporting about bully's! now following! ;)
1044,frio bullying contra os solteiros
1045,@username yeah it is :) he also doesn't get bullied :) everyone is nice to him :) xxxxxxx
1046,no bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro.
1047,"@username agreed! everyone needs to be ""singing from the same page of the song book"" when it comes to bullying."
1048,"bro, i was put on this earth to be cody simpson's soul mate. not someone you can bully because of it."
1049,"rebecca black has been pulled from school & is now being homeschooled, due to relentless #bullying. #homeschooling httplink"
1050,precious is a bully nyana mos #precious
1051,@username i know @username made syuri san cry at a smash conference. @username is a bully lol
1052,industry night people! see you thursday for some bully boy cocktails! httplink
1053,cant believe they bullied rebecca black out of school!! she is only human she doesn't deserve hate!! :| leave the poor girl alone!
1054,@username good to see that u dont possess the arrogance which anderson showed when sachin was batting.. he literally tried to bully him.
1055,"for bad bully boss keep a written daily ""memo of record"" of his actions, etc. & keep it in a secure place to prevent its destruction/theft."
1056,@username isso bullying ok?? u_u ruun' hahahahaha
1057,big as bully lmao!!
1058,"julie chen is a straight up bully! they're the talent julie, you're just some rich guys wife. #cbsbigbrother"
1059,@username @username he probably found some new kids to bully on this year we need to make a trip and just chill back in the old room
1060,"@username no faa bullying virtual cmg, isso crimeeee!!!!! kkkkkk!!! te amo mttt!!!k"
1061,@username welcome to twitter .....the ultimate bully.....it loves to be hated
